seed,ep,reward
0,0,10.0
0,1,-20.0
0,2,0.0
0,3,-30.0
0,4,-10.0
0,5,-10.0
0,6,-20.0
0,7,-10.0
0,8,-10.0
0,9,0.0
0,10,-20.0
0,11,-30.0
0,12,-30.0
0,13,-30.0
0,14,-20.0
0,15,0.0
0,16,-30.0
0,17,-20.0
0,18,-30.0
0,19,20.0
0,20,-40.0
0,21,-20.0
0,22,-30.0
0,23,-20.0
0,24,-30.0
0,25,0.0
0,26,-20.0
0,27,0.0
0,28,-20.0
0,29,-30.0
0,30,10.0
0,31,90.0
0,32,10.0
0,33,-30.0
0,34,-10.0
0,35,-20.0
0,36,-30.0
0,37,-40.0
0,38,-10.0
0,39,-30.0
0,40,-30.0
0,41,-10.0
0,42,-30.0
0,43,-10.0
0,44,-10.0
0,45,-30.0
0,46,-30.0
0,47,-30.0
0,48,0.0
0,49,-10.0
0,50,-10.0
0,51,-20.0
0,52,-20.0
0,53,-40.0
0,54,-30.0
0,55,-30.0
0,56,-20.0
0,57,-10.0
0,58,10.0
0,59,-30.0
0,60,-10.0
0,61,-40.0
0,62,-30.0
0,63,-40.0
0,64,-10.0
0,65,-30.0
0,66,10.0
0,67,0.0
0,68,40.0
0,69,-10.0
0,70,20.0
0,71,-30.0
0,72,50.0
0,73,-10.0
0,74,-20.0
0,75,0.0
0,76,-20.0
0,77,0.0
0,78,-20.0
0,79,10.0
0,80,10.0
0,81,-20.0
0,82,-20.0
0,83,40.0
0,84,10.0
0,85,30.0
0,86,-40.0
0,87,10.0
0,88,-10.0
0,89,20.0
0,90,-40.0
0,91,-30.0
0,92,-20.0
0,93,-30.0
0,94,10.0
0,95,-30.0
0,96,-20.0
0,97,30.0
0,98,-20.0
0,99,0.0
0,100,-30.0
0,101,-20.0
0,102,20.0
0,103,-20.0
0,104,0.0
0,105,0.0
0,106,-20.0
0,107,-20.0
0,108,-30.0
0,109,-30.0
0,110,0.0
0,111,30.0
0,112,20.0
0,113,-10.0
0,114,20.0
0,115,0.0
0,116,30.0
0,117,-30.0
0,118,-30.0
0,119,-30.0
0,120,-30.0
0,121,-20.0
0,122,-30.0
0,123,-20.0
0,124,0.0
0,125,40.0
0,126,-30.0
0,127,-30.0
0,128,0.0
0,129,20.0
0,130,60.0
0,131,-10.0
0,132,-20.0
0,133,0.0
0,134,20.0
0,135,20.0
0,136,-30.0
0,137,10.0
0,138,0.0
0,139,60.0
0,140,-30.0
0,141,0.0
0,142,30.0
0,143,-20.0
0,144,20.0
0,145,-20.0
0,146,-20.0
0,147,-10.0
0,148,0.0
0,149,10.0
0,150,40.0
0,151,20.0
0,152,-10.0
0,153,0.0
0,154,-30.0
0,155,40.0
0,156,0.0
0,157,30.0
0,158,-30.0
0,159,20.0
0,160,30.0
0,161,30.0
0,162,40.0
0,163,-10.0
0,164,-10.0
0,165,40.0
0,166,-20.0
0,167,-10.0
0,168,-30.0
0,169,70.0
0,170,10.0
0,171,70.0
0,172,-20.0
0,173,90.0
0,174,20.0
0,175,40.0
0,176,10.0
0,177,-20.0
0,178,-10.0
0,179,30.0
0,180,-30.0
0,181,50.0
0,182,50.0
0,183,10.0
0,184,-20.0
0,185,-40.0
0,186,20.0
0,187,20.0
0,188,60.0
0,189,30.0
0,190,-30.0
0,191,30.0
0,192,30.0
0,193,30.0
0,194,20.0
0,195,20.0
0,196,20.0
0,197,60.0
0,198,70.0
0,199,30.0
0,200,20.0
0,201,-10.0
0,202,40.0
0,203,-10.0
0,204,0.0
0,205,10.0
0,206,30.0
0,207,40.0
0,208,0.0
0,209,-10.0
0,210,0.0
0,211,-10.0
0,212,20.0
0,213,40.0
0,214,-10.0
0,215,20.0
0,216,-10.0
0,217,10.0
0,218,60.0
0,219,50.0
0,220,80.0
0,221,30.0
0,222,-10.0
0,223,10.0
0,224,30.0
0,225,10.0
0,226,30.0
0,227,30.0
0,228,30.0
0,229,30.0
0,230,10.0
0,231,60.0
0,232,10.0
0,233,70.0
0,234,40.0
0,235,-40.0
0,236,-10.0
0,237,110.0
0,238,50.0
0,239,10.0
0,240,60.0
0,241,40.0
0,242,-20.0
0,243,30.0
0,244,-20.0
0,245,20.0
0,246,10.0
0,247,100.0
0,248,-20.0
0,249,30.0
0,250,-10.0
0,251,-30.0
0,252,10.0
0,253,30.0
0,254,10.0
0,255,20.0
0,256,-10.0
0,257,10.0
0,258,30.0
0,259,40.0
0,260,90.0
0,261,-10.0
0,262,0.0
0,263,-10.0
0,264,-40.0
0,265,-30.0
0,266,0.0
0,267,20.0
0,268,-30.0
0,269,0.0
0,270,-10.0
0,271,30.0
0,272,30.0
0,273,30.0
0,274,70.0
0,275,30.0
0,276,-40.0
0,277,-30.0
0,278,50.0
0,279,40.0
0,280,-30.0
0,281,20.0
0,282,10.0
0,283,70.0
0,284,10.0
0,285,20.0
0,286,10.0
0,287,30.0
0,288,90.0
0,289,70.0
0,290,20.0
0,291,40.0
0,292,-30.0
0,293,10.0
0,294,-10.0
0,295,10.0
0,296,10.0
0,297,30.0
0,298,-20.0
0,299,-10.0
0,300,60.0
0,301,60.0
0,302,20.0
0,303,10.0
0,304,30.0
0,305,40.0
0,306,10.0
0,307,70.0
0,308,-20.0
0,309,-10.0
0,310,0.0
0,311,40.0
0,312,0.0
0,313,-10.0
