seed,ep,reward
0,0,-30.0
0,1,-20.0
0,2,-40.0
0,3,-40.0
0,4,-40.0
0,5,-30.0
0,6,-30.0
0,7,-30.0
0,8,-20.0
0,9,-10.0
0,10,-40.0
0,11,-40.0
0,12,-30.0
0,13,-30.0
0,14,-30.0
0,15,-30.0
0,16,-30.0
0,17,-30.0
0,18,-30.0
0,19,-30.0
0,20,-30.0
0,21,-40.0
0,22,-10.0
0,23,-30.0
0,24,-20.0
0,25,-30.0
0,26,-30.0
0,27,-30.0
0,28,-40.0
0,29,-30.0
0,30,-30.0
0,31,-30.0
0,32,-20.0
0,33,-30.0
0,34,-20.0
0,35,-30.0
0,36,-40.0
0,37,-30.0
0,38,-30.0
0,39,-40.0
0,40,0.0
0,41,-20.0
0,42,-30.0
0,43,-30.0
0,44,-20.0
0,45,-30.0
0,46,-30.0
0,47,-30.0
0,48,-40.0
0,49,-30.0
0,50,-30.0
0,51,-30.0
0,52,-30.0
0,53,-30.0
0,54,-30.0
0,55,-30.0
0,56,-30.0
0,57,-30.0
0,58,-20.0
0,59,-20.0
0,60,-30.0
0,61,-10.0
0,62,-30.0
0,63,-10.0
0,64,-30.0
0,65,-30.0
0,66,-30.0
0,67,-20.0
0,68,-30.0
0,69,-10.0
0,70,-40.0
0,71,-30.0
0,72,-10.0
0,73,-30.0
0,74,-20.0
0,75,-30.0
0,76,-10.0
0,77,-40.0
0,78,-30.0
0,79,-20.0
0,80,-30.0
0,81,-20.0
0,82,0.0
0,83,-10.0
0,84,-40.0
0,85,-20.0
0,86,-30.0
0,87,0.0
0,88,-20.0
0,89,-40.0
0,90,-20.0
0,91,-10.0
0,92,-20.0
0,93,-30.0
0,94,-10.0
0,95,-10.0
0,96,-40.0
0,97,-20.0
0,98,-30.0
0,99,-30.0
0,100,-30.0
0,101,-20.0
0,102,-20.0
0,103,-30.0
0,104,-40.0
0,105,-10.0
0,106,-10.0
0,107,10.0
0,108,-10.0
0,109,-20.0
0,110,-20.0
0,111,-10.0
0,112,-30.0
0,113,-20.0
0,114,-10.0
0,115,-30.0
0,116,-30.0
0,117,-20.0
0,118,-30.0
0,119,-30.0
0,120,-20.0
0,121,-40.0
0,122,-30.0
0,123,-20.0
0,124,20.0
0,125,-20.0
0,126,-20.0
0,127,0.0
0,128,-30.0
0,129,10.0
0,130,-20.0
0,131,-30.0
0,132,-30.0
0,133,-20.0
0,134,20.0
0,135,0.0
0,136,-10.0
0,137,-20.0
0,138,-20.0
0,139,-20.0
0,140,-30.0
0,141,-20.0
0,142,-30.0
0,143,-30.0
0,144,-10.0
0,145,-30.0
0,146,-20.0
0,147,-20.0
0,148,-20.0
0,149,-30.0
0,150,-20.0
0,151,-30.0
0,152,-10.0
0,153,-20.0
0,154,-20.0
0,155,10.0
0,156,-10.0
0,157,-10.0
0,158,0.0
0,159,-20.0
0,160,10.0
0,161,-30.0
0,162,-20.0
0,163,0.0
0,164,-10.0
0,165,40.0
0,166,-30.0
0,167,0.0
0,168,20.0
0,169,-10.0
0,170,10.0
0,171,30.0
0,172,-10.0
0,173,-40.0
0,174,0.0
0,175,-10.0
0,176,-30.0
0,177,-20.0
0,178,30.0
0,179,-10.0
0,180,0.0
0,181,10.0
0,182,-10.0
0,183,-30.0
0,184,10.0
0,185,0.0
0,186,-10.0
0,187,0.0
0,188,10.0
0,189,-30.0
0,190,-20.0
0,191,-40.0
0,192,-20.0
0,193,30.0
0,194,10.0
0,195,0.0
0,196,-20.0
0,197,0.0
0,198,-10.0
0,199,-30.0
0,200,-10.0
0,201,0.0
0,202,0.0
0,203,10.0
0,204,-20.0
0,205,0.0
0,206,-10.0
0,207,-10.0
0,208,-10.0
0,209,-20.0
0,210,-20.0
0,211,0.0
0,212,-30.0
0,213,-20.0
0,214,-20.0
0,215,-30.0
0,216,-20.0
0,217,0.0
0,218,-30.0
0,219,-20.0
0,220,-30.0
0,221,-20.0
0,222,-30.0
0,223,-30.0
0,224,-40.0
0,225,0.0
0,226,-30.0
0,227,-10.0
0,228,-30.0
0,229,0.0
0,230,-30.0
0,231,-10.0
0,232,-20.0
0,233,-30.0
0,234,-40.0
0,235,-40.0
0,236,-40.0
0,237,-30.0
0,238,-30.0
0,239,-20.0
0,240,-20.0
0,241,-20.0
0,242,-10.0
0,243,-20.0
0,244,-20.0
0,245,10.0
0,246,-30.0
0,247,-20.0
0,248,-30.0
0,249,-30.0
0,250,-10.0
0,251,-20.0
0,252,-40.0
0,253,-20.0
0,254,-30.0
0,255,-40.0
0,256,-30.0
0,257,0.0
0,258,-20.0
0,259,-20.0
0,260,-20.0
0,261,-10.0
0,262,-20.0
0,263,-20.0
0,264,-40.0
0,265,0.0
0,266,-30.0
0,267,-20.0
0,268,0.0
0,269,-30.0
0,270,-20.0
0,271,-30.0
0,272,-10.0
0,273,-10.0
0,274,-20.0
0,275,-30.0
0,276,0.0
0,277,-10.0
0,278,10.0
0,279,30.0
0,280,20.0
0,281,0.0
0,282,0.0
0,283,30.0
0,284,-30.0
0,285,-30.0
0,286,10.0
0,287,-40.0
0,288,-20.0
0,289,-20.0
0,290,-20.0
0,291,0.0
0,292,-30.0
0,293,-10.0
0,294,-10.0
0,295,0.0
0,296,10.0
0,297,-30.0
0,298,-20.0
0,299,-20.0
0,300,0.0
0,301,-50.0
0,302,-30.0
0,303,-30.0
0,304,-20.0
0,305,-30.0
0,306,-30.0
0,307,-10.0
0,308,-30.0
0,309,-30.0
0,310,-10.0
0,311,40.0
0,312,-10.0
0,313,-10.0
0,314,-30.0
0,315,-10.0
0,316,-30.0
0,317,-30.0
0,318,-40.0
0,319,-30.0
0,320,-20.0
0,321,-10.0
0,322,0.0
0,323,-40.0
0,324,-20.0
0,325,-20.0
0,326,30.0
0,327,0.0
0,328,20.0
0,329,-20.0
0,330,-20.0
0,331,-30.0
0,332,-20.0
0,333,-20.0
0,334,-30.0
0,335,-30.0
0,336,10.0
0,337,-40.0
0,338,-30.0
0,339,-30.0
0,340,-40.0
0,341,10.0
0,342,0.0
0,343,30.0
0,344,-10.0
0,345,20.0
0,346,10.0
0,347,-20.0
0,348,-40.0
0,349,-30.0
0,350,-40.0
0,351,-20.0
0,352,20.0
0,353,70.0
0,354,0.0
0,355,-20.0
0,356,20.0
0,357,90.0
0,358,-20.0
0,359,-10.0
0,360,-20.0
0,361,-20.0
0,362,10.0
0,363,-40.0
0,364,-40.0
0,365,-30.0
0,366,-20.0
0,367,10.0
0,368,-20.0
0,369,-30.0
0,370,-30.0
0,371,-20.0
0,372,-10.0
0,373,0.0
0,374,-20.0
0,375,-30.0
0,376,10.0
0,377,-10.0
0,378,-20.0
0,379,0.0
0,380,-20.0
0,381,-20.0
0,382,-40.0
0,383,-30.0
0,384,-30.0
0,385,-30.0
0,386,-30.0
0,387,-20.0
0,388,-30.0
0,389,-30.0
0,390,-40.0
0,391,-30.0
0,392,-30.0
0,393,-30.0
0,394,-30.0
0,395,-30.0
0,396,-20.0
0,397,-30.0
0,398,-20.0
0,399,-40.0
0,400,-30.0
0,401,-10.0
0,402,-30.0
0,403,-20.0
0,404,-30.0
0,405,-30.0
0,406,-20.0
0,407,-10.0
0,408,20.0
0,409,-10.0
0,410,-10.0
0,411,-30.0
0,412,-20.0
0,413,0.0
0,414,10.0
0,415,-20.0
0,416,-30.0
0,417,10.0
0,418,-30.0
0,419,10.0
0,420,-20.0
0,421,-20.0
0,422,0.0
0,423,0.0
0,424,-10.0
0,425,-20.0
0,426,-30.0
0,427,0.0
0,428,-10.0
0,429,-10.0
0,430,-20.0
0,431,10.0
0,432,0.0
