seed,ep,reward
0,0,20.0
0,1,-30.0
0,2,-30.0
0,3,-30.0
0,4,-20.0
0,5,20.0
0,6,-30.0
0,7,-30.0
0,8,-30.0
0,9,-20.0
0,10,-30.0
0,11,-30.0
0,12,-30.0
0,13,-20.0
0,14,-40.0
0,15,-20.0
0,16,-30.0
0,17,-10.0
0,18,-40.0
0,19,-40.0
0,20,-20.0
0,21,0.0
0,22,-30.0
0,23,-20.0
0,24,-10.0
0,25,-20.0
0,26,-10.0
0,27,-30.0
0,28,0.0
0,29,-30.0
0,30,-30.0
0,31,80.0
0,32,10.0
0,33,-20.0
0,34,-20.0
0,35,10.0
0,36,-10.0
0,37,-30.0
0,38,-10.0
0,39,-20.0
0,40,10.0
0,41,-30.0
0,42,-30.0
0,43,-20.0
0,44,-30.0
0,45,20.0
0,46,-30.0
0,47,-20.0
0,48,-30.0
0,49,-20.0
0,50,-10.0
0,51,-30.0
0,52,-20.0
0,53,-30.0
0,54,-20.0
0,55,30.0
0,56,-20.0
0,57,30.0
0,58,20.0
0,59,0.0
0,60,-20.0
0,61,-20.0
0,62,-30.0
0,63,-10.0
0,64,30.0
0,65,10.0
0,66,-20.0
0,67,0.0
0,68,-20.0
0,69,0.0
0,70,0.0
0,71,-20.0
0,72,-10.0
0,73,-10.0
0,74,-20.0
0,75,10.0
0,76,-30.0
0,77,-30.0
0,78,0.0
0,79,-30.0
0,80,50.0
0,81,-30.0
0,82,-10.0
0,83,10.0
0,84,0.0
0,85,-30.0
0,86,30.0
0,87,-20.0
0,88,-30.0
0,89,-40.0
0,90,-30.0
0,91,-30.0
0,92,-10.0
0,93,-20.0
0,94,-20.0
0,95,-30.0
0,96,20.0
0,97,-30.0
0,98,-20.0
0,99,0.0
0,100,0.0
0,101,-30.0
0,102,-20.0
0,103,-30.0
0,104,20.0
0,105,-20.0
0,106,70.0
0,107,10.0
0,108,-20.0
0,109,10.0
0,110,-20.0
0,111,10.0
0,112,0.0
0,113,0.0
0,114,40.0
0,115,-20.0
0,116,0.0
0,117,-30.0
0,118,10.0
0,119,-20.0
0,120,0.0
0,121,80.0
0,122,10.0
0,123,-30.0
0,124,0.0
0,125,10.0
0,126,10.0
0,127,20.0
0,128,40.0
0,129,50.0
0,130,30.0
0,131,30.0
0,132,-30.0
0,133,-40.0
0,134,10.0
0,135,0.0
0,136,-20.0
0,137,50.0
0,138,10.0
0,139,30.0
0,140,0.0
0,141,60.0
0,142,20.0
0,143,40.0
0,144,10.0
0,145,50.0
0,146,10.0
0,147,-10.0
0,148,40.0
0,149,0.0
0,150,10.0
0,151,10.0
0,152,10.0
0,153,10.0
0,154,40.0
0,155,30.0
0,156,-10.0
0,157,10.0
0,158,30.0
0,159,60.0
0,160,10.0
0,161,110.0
0,162,20.0
0,163,70.0
0,164,70.0
0,165,0.0
0,166,40.0
0,167,50.0
0,168,50.0
0,169,10.0
0,170,30.0
0,171,30.0
0,172,0.0
0,173,0.0
0,174,60.0
0,175,10.0
0,176,30.0
0,177,10.0
0,178,20.0
0,179,-20.0
0,180,60.0
0,181,20.0
0,182,-30.0
0,183,-40.0
0,184,-20.0
0,185,0.0
0,186,20.0
0,187,60.0
0,188,-20.0
0,189,50.0
0,190,-10.0
0,191,20.0
0,192,0.0
0,193,10.0
0,194,30.0
0,195,10.0
0,196,50.0
0,197,20.0
0,198,-10.0
0,199,50.0
0,200,10.0
0,201,-20.0
0,202,50.0
0,203,40.0
0,204,20.0
0,205,-30.0
0,206,60.0
0,207,20.0
0,208,10.0
0,209,90.0
0,210,50.0
0,211,40.0
0,212,-20.0
0,213,-20.0
0,214,-20.0
0,215,20.0
0,216,-40.0
0,217,-20.0
0,218,0.0
0,219,90.0
0,220,10.0
0,221,10.0
0,222,30.0
0,223,30.0
0,224,-30.0
0,225,40.0
0,226,-20.0
0,227,50.0
0,228,40.0
0,229,50.0
0,230,0.0
0,231,20.0
0,232,-10.0
0,233,30.0
0,234,60.0
0,235,0.0
0,236,20.0
0,237,20.0
0,238,40.0
0,239,-20.0
0,240,-20.0
0,241,30.0
0,242,-30.0
0,243,30.0
0,244,90.0
0,245,40.0
0,246,80.0
0,247,50.0
0,248,30.0
0,249,10.0
0,250,10.0
0,251,60.0
0,252,50.0
0,253,30.0
0,254,10.0
0,255,10.0
0,256,20.0
0,257,-20.0
0,258,-10.0
0,259,40.0
0,260,20.0
0,261,10.0
0,262,0.0
0,263,-30.0
0,264,50.0
0,265,10.0
0,266,-30.0
0,267,30.0
0,268,20.0
0,269,-20.0
0,270,40.0
0,271,0.0
0,272,20.0
0,273,40.0
0,274,10.0
0,275,60.0
0,276,70.0
0,277,80.0
0,278,70.0
0,279,40.0
0,280,30.0
0,281,-10.0
0,282,10.0
0,283,0.0
0,284,20.0
0,285,0.0
0,286,0.0
0,287,30.0
0,288,60.0
0,289,10.0
0,290,0.0
0,291,40.0
0,292,20.0
0,293,30.0
0,294,20.0
0,295,-10.0
0,296,80.0
0,297,-30.0
0,298,40.0
0,299,-20.0
0,300,60.0
0,301,10.0
0,302,10.0
0,303,-40.0
0,304,-10.0
0,305,-10.0
0,306,10.0
0,307,40.0
0,308,-10.0
0,309,10.0
0,310,0.0
0,311,-10.0
0,312,20.0
0,313,60.0
0,314,30.0
0,315,10.0
0,316,0.0
0,317,30.0
0,318,50.0
0,319,60.0
0,320,0.0
0,321,30.0
0,322,40.0
0,323,20.0
0,324,-20.0
0,325,10.0
0,326,-10.0
0,327,60.0
0,328,0.0
0,329,10.0
0,330,40.0
0,331,20.0
0,332,10.0
0,333,-30.0
0,334,40.0
0,335,50.0
0,336,20.0
0,337,10.0
0,338,40.0
0,339,10.0
0,340,10.0
0,341,-40.0
0,342,10.0
0,343,70.0
0,344,0.0
0,345,40.0
0,346,30.0
0,347,-10.0
0,348,20.0
0,349,40.0
0,350,-10.0
0,351,-10.0
0,352,0.0
0,353,50.0
0,354,70.0
0,355,10.0
0,356,20.0
0,357,-10.0
0,358,50.0
0,359,20.0
0,360,50.0
0,361,-10.0
0,362,-10.0
0,363,-40.0
0,364,60.0
0,365,40.0
0,366,40.0
0,367,70.0
0,368,30.0
0,369,60.0
0,370,80.0
0,371,20.0
0,372,30.0
0,373,60.0
0,374,-10.0
0,375,20.0
0,376,0.0
0,377,30.0
0,378,50.0
0,379,-10.0
0,380,10.0
0,381,-20.0
0,382,10.0
0,383,10.0
0,384,10.0
0,385,10.0
0,386,-10.0
0,387,30.0
0,388,50.0
0,389,50.0
0,390,10.0
0,391,50.0
0,392,40.0
0,393,-30.0
0,394,-40.0
0,395,30.0
0,396,50.0
0,397,20.0
0,398,20.0
0,399,50.0
0,400,40.0
0,401,50.0
0,402,30.0
0,403,20.0
0,404,20.0
0,405,10.0
0,406,0.0
0,407,0.0
0,408,0.0
0,409,-30.0
0,410,0.0
0,411,10.0
0,412,-10.0
0,413,40.0
0,414,0.0
0,415,40.0
0,416,60.0
0,417,40.0
0,418,60.0
0,419,30.0
0,420,20.0
0,421,0.0
0,422,30.0
0,423,20.0
0,424,0.0
0,425,0.0
0,426,10.0
0,427,0.0
0,428,-10.0
0,429,20.0
0,430,0.0
0,431,0.0
0,432,30.0
0,433,10.0
0,434,30.0
0,435,10.0
0,436,50.0
0,437,50.0
0,438,60.0
0,439,20.0
0,440,-30.0
0,441,20.0
0,442,70.0
0,443,10.0
0,444,-10.0
0,445,-20.0
0,446,100.0
0,447,20.0
0,448,20.0
