seed,ep,reward
0,0,10.0
0,1,-10.0
0,2,-20.0
0,3,-20.0
0,4,-10.0
0,5,-30.0
0,6,-30.0
0,7,10.0
0,8,-10.0
0,9,10.0
0,10,-30.0
0,11,-10.0
0,12,-10.0
0,13,-20.0
0,14,40.0
0,15,-10.0
0,16,-30.0
0,17,20.0
0,18,-40.0
0,19,-20.0
0,20,-10.0
0,21,-10.0
0,22,30.0
0,23,20.0
0,24,-30.0
0,25,10.0
0,26,-10.0
0,27,-30.0
0,28,-20.0
0,29,-20.0
0,30,30.0
0,31,-40.0
0,32,0.0
0,33,-20.0
0,34,-40.0
0,35,-10.0
0,36,-20.0
0,37,-20.0
0,38,-30.0
0,39,-20.0
0,40,-20.0
0,41,-20.0
0,42,-30.0
0,43,-30.0
0,44,-20.0
0,45,-30.0
0,46,0.0
0,47,-20.0
0,48,-10.0
0,49,-20.0
