seed,ep,reward
0,0,-30.0
0,1,-20.0
0,2,-20.0
0,3,-20.0
0,4,-20.0
0,5,-20.0
0,6,-30.0
0,7,-20.0
0,8,0.0
0,9,-30.0
0,10,-40.0
0,11,-10.0
0,12,10.0
0,13,0.0
0,14,-20.0
0,15,20.0
0,16,10.0
0,17,10.0
0,18,30.0
0,19,0.0
0,20,0.0
0,21,-10.0
0,22,20.0
0,23,-20.0
0,24,-10.0
0,25,40.0
0,26,0.0
0,27,-30.0
0,28,30.0
0,29,0.0
0,30,0.0
0,31,-10.0
0,32,-30.0
0,33,-10.0
0,34,0.0
0,35,-10.0
0,36,-20.0
0,37,-10.0
0,38,20.0
0,39,10.0
0,40,-20.0
0,41,-40.0
0,42,-30.0
0,43,-20.0
0,44,60.0
0,45,-30.0
0,46,-10.0
0,47,10.0
0,48,-30.0
0,49,-30.0
