seed,ep,reward
0,0,30.0
0,1,-30.0
0,2,-40.0
0,3,-30.0
0,4,-30.0
0,5,0.0
0,6,-30.0
0,7,-10.0
0,8,-30.0
0,9,0.0
0,10,30.0
0,11,-10.0
0,12,-30.0
0,13,20.0
0,14,-30.0
0,15,-30.0
0,16,-30.0
0,17,-20.0
0,18,-30.0
0,19,-30.0
0,20,-10.0
0,21,0.0
0,22,-30.0
0,23,-10.0
0,24,-20.0
0,25,-30.0
0,26,30.0
0,27,-20.0
0,28,-10.0
0,29,10.0
0,30,10.0
0,31,-30.0
0,32,-30.0
0,33,-20.0
0,34,-10.0
0,35,-30.0
0,36,0.0
0,37,-10.0
0,38,-30.0
0,39,-30.0
0,40,-40.0
0,41,0.0
0,42,40.0
0,43,-20.0
0,44,-10.0
0,45,-40.0
0,46,0.0
0,47,-50.0
0,48,-20.0
0,49,-10.0
0,50,-30.0
0,51,-30.0
0,52,0.0
0,53,-20.0
0,54,20.0
0,55,-20.0
0,56,-30.0
0,57,0.0
0,58,0.0
0,59,10.0
0,60,0.0
0,61,-40.0
0,62,-30.0
0,63,-20.0
0,64,-20.0
0,65,-10.0
0,66,-20.0
0,67,-30.0
0,68,-40.0
0,69,-30.0
0,70,-10.0
0,71,10.0
0,72,0.0
0,73,0.0
0,74,-10.0
0,75,-30.0
0,76,-30.0
0,77,-10.0
0,78,-30.0
0,79,-20.0
0,80,40.0
0,81,-40.0
0,82,-20.0
0,83,10.0
0,84,10.0
0,85,-10.0
0,86,0.0
0,87,-10.0
0,88,70.0
0,89,70.0
0,90,20.0
0,91,-20.0
0,92,-20.0
0,93,0.0
0,94,0.0
0,95,-10.0
0,96,-20.0
0,97,-10.0
0,98,10.0
0,99,-20.0
0,100,30.0
0,101,-30.0
0,102,0.0
0,103,40.0
0,104,0.0
0,105,10.0
0,106,0.0
0,107,-10.0
0,108,20.0
0,109,60.0
0,110,-20.0
0,111,-30.0
0,112,-20.0
0,113,20.0
0,114,-30.0
0,115,-40.0
0,116,20.0
0,117,0.0
0,118,-10.0
0,119,-20.0
0,120,10.0
0,121,110.0
0,122,40.0
0,123,0.0
0,124,40.0
0,125,-10.0
0,126,60.0
0,127,70.0
0,128,-10.0
0,129,70.0
0,130,40.0
0,131,-10.0
0,132,-20.0
0,133,-20.0
0,134,30.0
0,135,60.0
0,136,80.0
0,137,20.0
0,138,-10.0
0,139,30.0
0,140,-10.0
0,141,10.0
0,142,20.0
0,143,70.0
0,144,-40.0
0,145,-20.0
0,146,20.0
0,147,80.0
0,148,40.0
0,149,-10.0
0,150,10.0
0,151,10.0
0,152,-30.0
0,153,20.0
0,154,-30.0
0,155,-20.0
0,156,10.0
0,157,20.0
0,158,-10.0
0,159,20.0
0,160,0.0
0,161,30.0
0,162,-10.0
0,163,0.0
0,164,0.0
0,165,30.0
0,166,10.0
0,167,20.0
0,168,-10.0
0,169,-40.0
0,170,-20.0
0,171,20.0
0,172,40.0
0,173,20.0
0,174,10.0
0,175,-30.0
0,176,20.0
0,177,0.0
0,178,10.0
0,179,-20.0
0,180,-30.0
0,181,20.0
0,182,0.0
0,183,-10.0
0,184,20.0
0,185,-30.0
0,186,50.0
0,187,20.0
0,188,-30.0
0,189,-10.0
0,190,0.0
0,191,-20.0
0,192,30.0
0,193,-10.0
0,194,10.0
0,195,0.0
0,196,10.0
0,197,50.0
0,198,-20.0
0,199,-10.0
0,200,-10.0
0,201,50.0
0,202,-30.0
0,203,20.0
0,204,10.0
0,205,-20.0
0,206,10.0
0,207,0.0
0,208,30.0
0,209,0.0
0,210,50.0
0,211,-10.0
0,212,-10.0
0,213,30.0
0,214,-30.0
0,215,30.0
0,216,40.0
0,217,50.0
0,218,-10.0
0,219,40.0
0,220,50.0
0,221,40.0
0,222,-10.0
0,223,40.0
0,224,60.0
0,225,-10.0
0,226,0.0
0,227,20.0
0,228,10.0
0,229,-10.0
0,230,30.0
0,231,-10.0
0,232,-20.0
0,233,-30.0
0,234,90.0
0,235,-20.0
0,236,10.0
0,237,10.0
0,238,30.0
0,239,20.0
0,240,20.0
0,241,40.0
0,242,20.0
0,243,10.0
0,244,-20.0
0,245,50.0
0,246,20.0
0,247,-40.0
0,248,30.0
0,249,-10.0
0,250,10.0
0,251,0.0
0,252,40.0
0,253,40.0
0,254,40.0
0,255,70.0
0,256,60.0
0,257,20.0
0,258,-10.0
0,259,0.0
0,260,-20.0
0,261,40.0
0,262,20.0
0,263,60.0
0,264,-10.0
0,265,10.0
0,266,-10.0
0,267,40.0
0,268,0.0
0,269,110.0
0,270,0.0
0,271,0.0
0,272,-40.0
0,273,40.0
0,274,30.0
0,275,40.0
0,276,-20.0
0,277,20.0
0,278,-30.0
0,279,20.0
0,280,90.0
0,281,20.0
0,282,50.0
0,283,60.0
0,284,0.0
0,285,20.0
0,286,-10.0
0,287,-20.0
0,288,10.0
0,289,40.0
0,290,-10.0
0,291,40.0
0,292,40.0
0,293,70.0
0,294,0.0
0,295,-20.0
0,296,70.0
0,297,70.0
0,298,-10.0
0,299,10.0
0,300,-40.0
0,301,-10.0
0,302,0.0
0,303,40.0
0,304,-20.0
0,305,-30.0
0,306,20.0
0,307,20.0
0,308,-30.0
0,309,120.0
0,310,0.0
0,311,30.0
0,312,-20.0
0,313,10.0
0,314,0.0
0,315,60.0
0,316,10.0
0,317,30.0
0,318,50.0
0,319,-10.0
0,320,-30.0
0,321,90.0
0,322,-30.0
0,323,10.0
0,324,50.0
0,325,50.0
0,326,20.0
0,327,-20.0
0,328,0.0
0,329,-10.0
0,330,-20.0
0,331,60.0
0,332,-10.0
0,333,70.0
0,334,40.0
0,335,-40.0
0,336,30.0
0,337,0.0
0,338,10.0
0,339,30.0
0,340,30.0
0,341,10.0
0,342,0.0
0,343,10.0
0,344,-20.0
0,345,10.0
0,346,20.0
0,347,40.0
0,348,30.0
0,349,-10.0
0,350,60.0
0,351,-10.0
0,352,50.0
0,353,20.0
0,354,-10.0
0,355,20.0
0,356,60.0
0,357,60.0
0,358,0.0
0,359,0.0
0,360,10.0
0,361,-20.0
0,362,60.0
0,363,10.0
0,364,20.0
0,365,20.0
0,366,40.0
0,367,10.0
0,368,20.0
0,369,-10.0
0,370,-20.0
0,371,80.0
0,372,40.0
0,373,50.0
0,374,20.0
0,375,50.0
0,376,40.0
0,377,20.0
0,378,0.0
0,379,20.0
0,380,50.0
0,381,40.0
0,382,-30.0
0,383,20.0
0,384,90.0
0,385,80.0
0,386,100.0
0,387,-30.0
0,388,30.0
0,389,20.0
0,390,20.0
0,391,0.0
0,392,0.0
0,393,20.0
0,394,30.0
0,395,40.0
0,396,0.0
0,397,20.0
0,398,10.0
0,399,10.0
0,400,10.0
0,401,10.0
0,402,50.0
0,403,60.0
0,404,30.0
0,405,20.0
0,406,80.0
0,407,50.0
0,408,50.0
0,409,0.0
0,410,-20.0
0,411,-20.0
0,412,50.0
0,413,30.0
0,414,10.0
0,415,0.0
0,416,30.0
0,417,20.0
0,418,-10.0
0,419,10.0
0,420,80.0
0,421,50.0
0,422,60.0
0,423,50.0
0,424,30.0
0,425,-10.0
0,426,-10.0
0,427,60.0
0,428,30.0
0,429,-20.0
0,430,30.0
0,431,-10.0
0,432,0.0
0,433,0.0
0,434,0.0
0,435,-10.0
0,436,30.0
0,437,-30.0
0,438,-10.0
0,439,0.0
0,440,70.0
0,441,80.0
0,442,140.0
0,443,-30.0
0,444,40.0
0,445,0.0
0,446,10.0
0,447,0.0
0,448,0.0
0,449,100.0
0,450,0.0
0,451,50.0
0,452,-10.0
0,453,-30.0
0,454,90.0
0,455,50.0
0,456,10.0
0,457,10.0
0,458,80.0
0,459,70.0
0,460,10.0
0,461,-30.0
0,462,20.0
0,463,40.0
0,464,10.0
0,465,30.0
0,466,-20.0
0,467,20.0
0,468,-30.0
0,469,20.0
0,470,30.0
0,471,0.0
0,472,-20.0
0,473,120.0
0,474,0.0
0,475,20.0
0,476,20.0
0,477,10.0
0,478,40.0
0,479,0.0
0,480,10.0
0,481,10.0
0,482,0.0
0,483,20.0
0,484,60.0
0,485,10.0
0,486,50.0
0,487,90.0
0,488,20.0
0,489,-10.0
0,490,30.0
0,491,60.0
0,492,0.0
0,493,40.0
0,494,70.0
0,495,30.0
0,496,90.0
0,497,10.0
0,498,30.0
0,499,20.0
