seed,ep,reward
0,0,-30.0
0,1,-20.0
0,2,-10.0
0,3,-30.0
0,4,-30.0
0,5,-20.0
0,6,10.0
0,7,-30.0
0,8,-40.0
0,9,-30.0
0,10,-30.0
0,11,-20.0
0,12,-30.0
0,13,-10.0
0,14,-30.0
0,15,-40.0
0,16,-10.0
0,17,0.0
0,18,-20.0
0,19,-20.0
0,20,-30.0
0,21,-20.0
0,22,-30.0
0,23,-30.0
0,24,-20.0
0,25,-20.0
0,26,-30.0
0,27,10.0
0,28,-10.0
0,29,-20.0
0,30,-10.0
0,31,10.0
0,32,0.0
0,33,-10.0
0,34,10.0
0,35,-20.0
0,36,-30.0
0,37,-10.0
0,38,-10.0
0,39,-10.0
0,40,-20.0
0,41,-20.0
0,42,-30.0
0,43,20.0
0,44,20.0
0,45,20.0
0,46,10.0
0,47,-10.0
0,48,0.0
0,49,-30.0
0,50,-30.0
0,51,-20.0
0,52,-30.0
0,53,-30.0
0,54,-20.0
0,55,-40.0
0,56,-30.0
0,57,-20.0
0,58,-10.0
0,59,-10.0
0,60,-20.0
0,61,-10.0
0,62,-20.0
0,63,-30.0
0,64,-20.0
0,65,-30.0
0,66,-30.0
0,67,-20.0
0,68,-20.0
0,69,-10.0
0,70,10.0
0,71,-40.0
0,72,-20.0
0,73,-10.0
0,74,-20.0
0,75,-30.0
0,76,-30.0
0,77,-20.0
0,78,-30.0
0,79,-20.0
0,80,-30.0
0,81,-30.0
0,82,-30.0
0,83,-30.0
0,84,-20.0
0,85,-10.0
0,86,-10.0
0,87,20.0
0,88,0.0
0,89,0.0
0,90,-20.0
0,91,0.0
0,92,-10.0
0,93,-20.0
0,94,10.0
0,95,30.0
0,96,-20.0
0,97,0.0
0,98,10.0
0,99,-20.0
0,100,70.0
0,101,-10.0
0,102,0.0
0,103,-40.0
0,104,-20.0
0,105,40.0
0,106,-20.0
0,107,-10.0
0,108,10.0
0,109,10.0
0,110,-10.0
0,111,0.0
0,112,0.0
0,113,-10.0
0,114,0.0
0,115,40.0
0,116,-20.0
0,117,0.0
0,118,-10.0
0,119,30.0
0,120,-20.0
0,121,-10.0
0,122,-10.0
0,123,-20.0
0,124,-20.0
0,125,-40.0
0,126,-10.0
0,127,20.0
0,128,-20.0
0,129,-40.0
0,130,-30.0
0,131,-30.0
0,132,0.0
0,133,-20.0
0,134,0.0
0,135,40.0
0,136,-20.0
0,137,-20.0
0,138,-20.0
0,139,-20.0
0,140,-20.0
0,141,-20.0
0,142,-20.0
0,143,-40.0
0,144,0.0
0,145,0.0
0,146,-10.0
0,147,0.0
0,148,-10.0
0,149,20.0
0,150,-10.0
0,151,-20.0
0,152,-10.0
0,153,0.0
0,154,0.0
0,155,-30.0
0,156,20.0
0,157,0.0
0,158,20.0
0,159,0.0
0,160,-10.0
0,161,10.0
0,162,-30.0
0,163,-10.0
0,164,-20.0
0,165,10.0
0,166,10.0
0,167,10.0
0,168,0.0
0,169,10.0
0,170,0.0
0,171,-20.0
0,172,0.0
0,173,-10.0
0,174,-20.0
0,175,10.0
0,176,20.0
0,177,-30.0
0,178,-30.0
0,179,-30.0
0,180,-20.0
0,181,-20.0
0,182,-20.0
0,183,-20.0
0,184,-30.0
0,185,0.0
0,186,-20.0
0,187,0.0
0,188,0.0
0,189,-40.0
0,190,-30.0
0,191,-20.0
0,192,20.0
0,193,-30.0
0,194,-10.0
0,195,-30.0
0,196,-20.0
0,197,-10.0
0,198,-20.0
0,199,-20.0
0,200,-20.0
0,201,-20.0
0,202,-30.0
0,203,10.0
0,204,30.0
0,205,0.0
0,206,-30.0
0,207,10.0
0,208,30.0
0,209,10.0
0,210,-10.0
0,211,0.0
0,212,10.0
0,213,20.0
0,214,0.0
0,215,30.0
0,216,30.0
0,217,-10.0
0,218,-10.0
0,219,-20.0
0,220,-20.0
0,221,10.0
0,222,-20.0
0,223,-30.0
0,224,-30.0
0,225,0.0
0,226,40.0
0,227,-30.0
0,228,-20.0
0,229,-30.0
0,230,-30.0
0,231,-30.0
0,232,-30.0
0,233,-40.0
0,234,-30.0
0,235,-20.0
0,236,-30.0
0,237,-20.0
0,238,-20.0
0,239,-30.0
0,240,-30.0
0,241,0.0
0,242,-20.0
0,243,-30.0
0,244,-20.0
0,245,-10.0
0,246,30.0
0,247,-30.0
0,248,-10.0
0,249,-30.0
0,250,-10.0
0,251,-30.0
0,252,-20.0
0,253,0.0
0,254,40.0
0,255,-40.0
0,256,-20.0
0,257,30.0
0,258,-20.0
0,259,-10.0
0,260,-20.0
0,261,30.0
0,262,-10.0
0,263,-10.0
0,264,0.0
0,265,-20.0
0,266,-10.0
0,267,-10.0
0,268,-20.0
0,269,-30.0
0,270,-20.0
0,271,-40.0
0,272,0.0
0,273,-30.0
0,274,20.0
0,275,-20.0
0,276,40.0
0,277,10.0
0,278,-40.0
0,279,-30.0
0,280,20.0
0,281,-10.0
0,282,0.0
0,283,-20.0
0,284,-30.0
0,285,0.0
0,286,-20.0
0,287,-30.0
0,288,-20.0
0,289,-10.0
0,290,-20.0
0,291,-30.0
0,292,-20.0
0,293,-20.0
0,294,-30.0
0,295,10.0
0,296,-20.0
0,297,-10.0
0,298,0.0
0,299,10.0
0,300,0.0
0,301,10.0
0,302,-10.0
0,303,-10.0
0,304,-10.0
0,305,-10.0
0,306,-20.0
0,307,-20.0
0,308,0.0
0,309,-10.0
0,310,-20.0
0,311,20.0
0,312,30.0
0,313,-30.0
0,314,-20.0
0,315,20.0
0,316,-20.0
0,317,-30.0
0,318,-10.0
0,319,-30.0
0,320,-40.0
0,321,-10.0
0,322,-40.0
0,323,-40.0
0,324,-20.0
0,325,-30.0
0,326,-30.0
0,327,-30.0
0,328,-20.0
0,329,-30.0
0,330,-30.0
0,331,-10.0
0,332,-20.0
0,333,-20.0
0,334,-30.0
0,335,-30.0
0,336,-30.0
0,337,-20.0
0,338,-30.0
0,339,-10.0
0,340,50.0
0,341,-20.0
0,342,-20.0
0,343,-20.0
0,344,-30.0
0,345,-30.0
0,346,-10.0
0,347,-30.0
0,348,0.0
0,349,-30.0
0,350,-20.0
0,351,-20.0
0,352,-40.0
0,353,-10.0
0,354,10.0
0,355,-20.0
0,356,-40.0
0,357,-10.0
0,358,0.0
0,359,-30.0
0,360,0.0
0,361,0.0
0,362,0.0
0,363,50.0
0,364,0.0
0,365,10.0
0,366,0.0
0,367,40.0
0,368,-10.0
0,369,0.0
0,370,10.0
0,371,30.0
0,372,-30.0
0,373,-30.0
0,374,-30.0
0,375,-30.0
0,376,-20.0
0,377,50.0
0,378,-20.0
0,379,-10.0
0,380,-20.0
0,381,-10.0
0,382,-30.0
0,383,30.0
0,384,10.0
0,385,0.0
0,386,10.0
0,387,0.0
0,388,20.0
0,389,-40.0
0,390,-20.0
0,391,-30.0
0,392,-40.0
0,393,-20.0
0,394,-30.0
0,395,-30.0
0,396,-30.0
0,397,-30.0
0,398,-20.0
0,399,-10.0
0,400,-20.0
0,401,-20.0
0,402,-20.0
0,403,-20.0
0,404,0.0
0,405,-30.0
0,406,-30.0
0,407,-20.0
0,408,-30.0
0,409,-20.0
0,410,40.0
0,411,0.0
0,412,-30.0
0,413,0.0
0,414,-20.0
0,415,-30.0
0,416,0.0
0,417,20.0
0,418,-30.0
0,419,-40.0
0,420,-20.0
0,421,-10.0
0,422,-30.0
0,423,-30.0
0,424,-30.0
0,425,-30.0
0,426,-20.0
0,427,-30.0
0,428,-20.0
0,429,-20.0
0,430,-30.0
0,431,-20.0
0,432,-10.0
0,433,-30.0
0,434,-30.0
0,435,-30.0
0,436,-10.0
0,437,-20.0
