seed,ep,reward
0,0,-20.0
0,1,-40.0
0,2,-10.0
0,3,-30.0
0,4,-10.0
0,5,-30.0
0,6,-30.0
0,7,20.0
0,8,-20.0
0,9,-30.0
0,10,-20.0
0,11,-40.0
0,12,-30.0
0,13,-30.0
0,14,-40.0
0,15,-30.0
0,16,-20.0
0,17,-30.0
0,18,-30.0
0,19,10.0
0,20,-20.0
0,21,-20.0
0,22,-20.0
0,23,-30.0
0,24,20.0
0,25,-20.0
0,26,20.0
0,27,-40.0
0,28,-10.0
0,29,-10.0
0,30,-10.0
0,31,0.0
0,32,-40.0
0,33,-10.0
0,34,-10.0
0,35,0.0
0,36,-40.0
0,37,-30.0
0,38,-30.0
0,39,-20.0
0,40,20.0
0,41,-30.0
0,42,-30.0
0,43,-30.0
0,44,-30.0
0,45,-40.0
0,46,-30.0
0,47,-30.0
0,48,-30.0
0,49,-30.0
0,50,-20.0
0,51,-40.0
0,52,-20.0
0,53,-30.0
0,54,-10.0
0,55,-20.0
0,56,-20.0
0,57,0.0
0,58,10.0
0,59,-30.0
0,60,40.0
0,61,-30.0
0,62,0.0
0,63,-30.0
0,64,-20.0
0,65,30.0
0,66,-20.0
0,67,-20.0
0,68,-30.0
0,69,0.0
0,70,20.0
0,71,10.0
0,72,-20.0
0,73,40.0
0,74,-10.0
0,75,-20.0
0,76,-30.0
0,77,20.0
0,78,10.0
0,79,0.0
0,80,-20.0
0,81,20.0
0,82,0.0
0,83,-10.0
0,84,-10.0
0,85,10.0
0,86,-10.0
0,87,0.0
0,88,30.0
0,89,10.0
0,90,-10.0
0,91,70.0
0,92,-10.0
0,93,-40.0
0,94,-10.0
0,95,-20.0
0,96,0.0
0,97,-20.0
0,98,-30.0
0,99,10.0
0,100,0.0
0,101,120.0
0,102,-10.0
0,103,-10.0
0,104,-20.0
0,105,0.0
0,106,20.0
0,107,30.0
0,108,-30.0
0,109,-10.0
0,110,-20.0
0,111,100.0
0,112,40.0
0,113,20.0
0,114,-30.0
0,115,60.0
0,116,30.0
0,117,50.0
0,118,0.0
0,119,50.0
0,120,70.0
0,121,10.0
0,122,20.0
0,123,0.0
0,124,-10.0
0,125,-20.0
0,126,0.0
0,127,30.0
0,128,10.0
0,129,20.0
0,130,40.0
0,131,30.0
0,132,20.0
0,133,-20.0
0,134,-30.0
0,135,20.0
0,136,20.0
0,137,60.0
0,138,-30.0
0,139,20.0
0,140,50.0
0,141,-10.0
0,142,-10.0
0,143,30.0
0,144,10.0
0,145,-30.0
0,146,20.0
0,147,10.0
0,148,10.0
0,149,-10.0
0,150,80.0
0,151,0.0
0,152,50.0
0,153,20.0
0,154,-20.0
0,155,-10.0
0,156,-30.0
0,157,-10.0
0,158,-10.0
0,159,30.0
0,160,10.0
0,161,0.0
0,162,-20.0
0,163,0.0
0,164,30.0
0,165,40.0
0,166,40.0
0,167,30.0
0,168,-10.0
0,169,-20.0
0,170,0.0
0,171,0.0
0,172,20.0
0,173,50.0
0,174,10.0
0,175,40.0
0,176,-20.0
0,177,-20.0
0,178,0.0
0,179,0.0
0,180,0.0
0,181,20.0
0,182,10.0
0,183,0.0
0,184,20.0
0,185,10.0
0,186,10.0
0,187,50.0
0,188,10.0
0,189,0.0
0,190,-10.0
0,191,-10.0
0,192,30.0
0,193,150.0
0,194,0.0
0,195,-10.0
0,196,10.0
0,197,10.0
0,198,10.0
0,199,20.0
0,200,70.0
0,201,30.0
0,202,30.0
0,203,20.0
0,204,10.0
0,205,0.0
0,206,0.0
0,207,30.0
0,208,70.0
0,209,40.0
0,210,0.0
0,211,10.0
0,212,30.0
0,213,20.0
0,214,80.0
0,215,-10.0
0,216,20.0
0,217,0.0
0,218,10.0
0,219,30.0
0,220,50.0
0,221,10.0
0,222,10.0
0,223,40.0
0,224,30.0
0,225,-20.0
0,226,80.0
0,227,-30.0
0,228,30.0
0,229,50.0
0,230,40.0
0,231,50.0
0,232,40.0
0,233,50.0
0,234,0.0
0,235,30.0
0,236,10.0
0,237,50.0
0,238,10.0
0,239,30.0
0,240,-20.0
0,241,10.0
0,242,20.0
0,243,120.0
0,244,0.0
0,245,90.0
0,246,80.0
0,247,40.0
0,248,100.0
0,249,60.0
0,250,80.0
0,251,30.0
0,252,110.0
0,253,-20.0
0,254,0.0
0,255,70.0
0,256,-20.0
0,257,10.0
0,258,50.0
0,259,90.0
0,260,10.0
0,261,20.0
0,262,-10.0
0,263,0.0
0,264,70.0
0,265,40.0
0,266,20.0
0,267,0.0
0,268,-40.0
0,269,10.0
0,270,30.0
0,271,10.0
0,272,0.0
0,273,10.0
0,274,20.0
0,275,50.0
0,276,30.0
0,277,90.0
0,278,10.0
0,279,30.0
0,280,10.0
0,281,20.0
0,282,10.0
0,283,30.0
0,284,60.0
0,285,10.0
0,286,10.0
0,287,40.0
0,288,20.0
0,289,70.0
0,290,-10.0
0,291,60.0
0,292,10.0
0,293,10.0
0,294,-10.0
0,295,30.0
0,296,0.0
0,297,0.0
0,298,-20.0
0,299,50.0
0,300,10.0
0,301,50.0
0,302,-10.0
0,303,-10.0
0,304,30.0
0,305,40.0
0,306,0.0
0,307,60.0
0,308,40.0
0,309,0.0
0,310,50.0
0,311,0.0
0,312,20.0
0,313,80.0
0,314,-10.0
0,315,50.0
0,316,-10.0
0,317,10.0
0,318,10.0
0,319,30.0
0,320,-20.0
0,321,-10.0
0,322,-10.0
0,323,70.0
0,324,-30.0
0,325,0.0
0,326,20.0
0,327,30.0
0,328,10.0
0,329,0.0
0,330,50.0
0,331,60.0
0,332,20.0
0,333,20.0
0,334,110.0
0,335,110.0
0,336,30.0
0,337,50.0
0,338,60.0
0,339,0.0
0,340,60.0
0,341,80.0
0,342,70.0
0,343,50.0
0,344,40.0
0,345,20.0
0,346,60.0
0,347,10.0
0,348,0.0
0,349,80.0
0,350,10.0
0,351,0.0
0,352,-10.0
0,353,-40.0
0,354,10.0
0,355,10.0
0,356,-10.0
0,357,-10.0
0,358,30.0
0,359,10.0
0,360,10.0
0,361,60.0
0,362,20.0
0,363,50.0
0,364,40.0
0,365,40.0
0,366,20.0
0,367,-10.0
0,368,20.0
0,369,70.0
0,370,30.0
0,371,-20.0
0,372,70.0
0,373,30.0
0,374,10.0
0,375,30.0
0,376,10.0
0,377,20.0
0,378,40.0
0,379,20.0
0,380,60.0
0,381,-10.0
0,382,10.0
0,383,90.0
0,384,10.0
0,385,40.0
0,386,20.0
0,387,100.0
0,388,60.0
0,389,20.0
0,390,20.0
0,391,10.0
0,392,90.0
0,393,20.0
0,394,-30.0
0,395,40.0
0,396,70.0
0,397,10.0
0,398,40.0
0,399,-10.0
0,400,20.0
0,401,0.0
0,402,50.0
0,403,60.0
0,404,-20.0
0,405,80.0
0,406,40.0
0,407,40.0
0,408,10.0
0,409,80.0
0,410,-10.0
0,411,50.0
0,412,40.0
0,413,50.0
0,414,130.0
0,415,70.0
0,416,10.0
0,417,20.0
0,418,50.0
0,419,-20.0
0,420,40.0
0,421,0.0
0,422,50.0
0,423,50.0
0,424,40.0
0,425,-10.0
0,426,30.0
0,427,40.0
0,428,-10.0
0,429,0.0
0,430,40.0
0,431,20.0
0,432,30.0
0,433,20.0
0,434,30.0
0,435,20.0
0,436,20.0
0,437,40.0
0,438,20.0
0,439,30.0
0,440,20.0
0,441,10.0
0,442,70.0
0,443,10.0
0,444,40.0
0,445,60.0
0,446,30.0
0,447,30.0
0,448,-10.0
0,449,10.0
0,450,20.0
0,451,70.0
0,452,70.0
0,453,40.0
0,454,0.0
0,455,50.0
0,456,0.0
0,457,20.0
0,458,70.0
0,459,40.0
0,460,0.0
0,461,0.0
0,462,40.0
0,463,20.0
0,464,20.0
0,465,60.0
0,466,50.0
0,467,30.0
0,468,10.0
0,469,30.0
0,470,100.0
0,471,40.0
0,472,50.0
0,473,-10.0
0,474,50.0
0,475,50.0
0,476,90.0
0,477,40.0
0,478,10.0
0,479,-20.0
0,480,20.0
0,481,10.0
0,482,20.0
0,483,100.0
0,484,30.0
0,485,30.0
0,486,40.0
0,487,60.0
0,488,80.0
0,489,10.0
0,490,0.0
0,491,30.0
0,492,40.0
0,493,50.0
0,494,60.0
0,495,10.0
0,496,10.0
0,497,20.0
0,498,20.0
0,499,50.0
0,500,0.0
0,501,0.0
0,502,80.0
0,503,30.0
0,504,50.0
0,505,80.0
0,506,90.0
0,507,30.0
0,508,20.0
0,509,40.0
0,510,10.0
0,511,40.0
0,512,-10.0
0,513,-30.0
0,514,30.0
0,515,30.0
0,516,10.0
0,517,30.0
0,518,50.0
0,519,80.0
0,520,50.0
0,521,-20.0
0,522,20.0
0,523,70.0
0,524,10.0
0,525,-20.0
0,526,30.0
0,527,-20.0
0,528,50.0
0,529,90.0
0,530,30.0
0,531,-20.0
0,532,30.0
0,533,-10.0
0,534,10.0
0,535,60.0
0,536,-10.0
0,537,40.0
0,538,50.0
0,539,0.0
0,540,-10.0
0,541,40.0
0,542,40.0
0,543,10.0
0,544,0.0
0,545,20.0
0,546,30.0
0,547,-10.0
0,548,20.0
0,549,20.0
0,550,30.0
0,551,20.0
0,552,0.0
0,553,40.0
0,554,50.0
0,555,20.0
0,556,20.0
0,557,30.0
0,558,40.0
0,559,20.0
0,560,20.0
0,561,20.0
0,562,50.0
0,563,70.0
0,564,10.0
0,565,50.0
0,566,20.0
0,567,20.0
0,568,50.0
0,569,-20.0
0,570,30.0
0,571,50.0
0,572,0.0
0,573,10.0
0,574,0.0
0,575,-10.0
0,576,0.0
0,577,10.0
0,578,-10.0
0,579,-10.0
0,580,20.0
0,581,130.0
0,582,-10.0
0,583,0.0
0,584,20.0
0,585,0.0
0,586,10.0
0,587,30.0
0,588,30.0
0,589,20.0
0,590,20.0
0,591,-20.0
0,592,20.0
0,593,50.0
0,594,70.0
0,595,0.0
0,596,80.0
0,597,50.0
0,598,60.0
0,599,-10.0
0,600,-10.0
0,601,0.0
0,602,-10.0
0,603,50.0
0,604,50.0
0,605,60.0
0,606,50.0
0,607,-10.0
0,608,-10.0
0,609,70.0
0,610,120.0
0,611,40.0
0,612,40.0
0,613,30.0
0,614,10.0
0,615,60.0
0,616,50.0
0,617,-10.0
0,618,30.0
0,619,40.0
0,620,40.0
0,621,60.0
0,622,10.0
0,623,40.0
0,624,80.0
0,625,50.0
0,626,-40.0
0,627,10.0
0,628,40.0
0,629,60.0
0,630,20.0
0,631,20.0
0,632,10.0
0,633,20.0
0,634,0.0
0,635,-30.0
0,636,70.0
0,637,0.0
